title,batch_idx,dict_version,batch_accuracy,batch_macro_f1,batch_weighted_f1,batch_phishing_precision,batch_phishing_recall,batch_phishing_f1,river_cumulative_accuracy,river_cumulative_macro_f1,river_cumulative_weighted_f1,transformer_used_count,transformer_promote_count,transformer_demote_count,mean_transformer_phish_prob,prediction_mode
Before Update - Progressive Stream Batch 34,34,11,0.9306,0.895466055873092,0.9310231461741109,0.8053691275167785,0.8086253369272237,0.8069939475453934,0.9244176470588236,0.8877749415993382,0.9246521892079878,1146,110,93,0.6601208448410034,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 35,35,11,0.9386,0.9135485907590762,0.9392857980885697,0.8044077134986226,0.8488372093023255,0.826025459688826,0.9248228571428572,0.8884672713935022,0.9250696304765297,1453,81,256,0.5330459475517273,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 36,36,11,0.9426,0.9142987216613266,0.942488509516937,0.8681318681318682,0.8261437908496732,0.8466175485599464,0.9253166666666667,0.8891987357251392,0.9255499949164294,1048,101,71,0.7098983526229858,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 37,37,12,0.9466,0.9234153045421949,0.9466340063017414,0.8447802197802198,0.8401639344262295,0.8424657534246576,0.9258918918918919,0.8900984691078735,0.9261183973279699,1239,78,85,0.6144147515296936,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 38,38,12,0.9418,0.9167029381718309,0.942297090797511,0.8062234794908062,0.8456973293768546,0.8254887762490949,0.9263105263157895,0.8908072326574491,0.926544033264603,1173,87,208,0.6163963079452515,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 39,39,12,0.9232,0.8876973846434314,0.9242187705203252,0.7453083109919572,0.792022792022792,0.7679558011049724,0.9262307692307692,0.8907268446677538,0.9264808526900071,1531,44,375,0.5147079825401306,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 40,40,13,0.91,0.8638215566397367,0.9009843245948134,0.8644859813084113,0.5103448275862069,0.6418039895923677,0.925825,0.8902203629631309,0.925943247629499,765,56,126,0.5658758282661438,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 41,41,13,0.9322,0.899842393780439,0.9332055567822511,0.8055555555555556,0.8481894150417827,0.8263229308005428,0.9259804878048781,0.8904568259716443,0.9261232779415316,1095,70,115,0.6927480101585388,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 42,42,13,0.942,0.9167684759646548,0.9425778691029507,0.8207426376440461,0.8662162162162163,0.8428665351742275,0.9263619047619047,0.8910895356174916,0.926519425548775,1274,86,179,0.6356214880943298,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 43,43,14,0.936,0.9121292758153512,0.9374836594519916,0.7699757869249395,0.874828060522696,0.8190598840952994,0.9265860465116279,0.8915867429831282,0.9267775600272762,1511,59,296,0.5664390325546265,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 44,44,14,0.938,0.9126517530552327,0.9386477124063113,0.7915531335149864,0.8371757925072046,0.8137254901960784,0.9268454545454545,0.8920547187498982,0.9270475117697866,1702,76,238,0.47769612073898315,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 45,45,14,0.9366,0.9155054443825732,0.9370254114004462,0.8062418725617685,0.8333333333333334,0.8195637805684072,0.9270622222222222,0.8925615065469729,0.9272674056494474,1180,82,108,0.6615718603134155,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 46,46,15,0.9318,0.9001808434900138,0.9322724561572336,0.7983310152990264,0.8130311614730878,0.8056140350877193,0.9271652173913043,0.8927311076193385,0.9273764377554862,1420,88,131,0.5441061854362488,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 47,47,15,0.9324,0.9064940925561851,0.9329293737866705,0.779291553133515,0.8159771754636234,0.797212543554007,0.9272765957446808,0.8930285277564844,0.9274932953806851,1469,80,265,0.5329700112342834,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 48,48,15,0.9242,0.8870693003655666,0.9251641729416542,0.8044328552803129,0.8440492476060192,0.8237650200267023,0.9272125,0.8929169720036993,0.9274450494773099,1349,84,104,0.585736870765686,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 49,49,16,0.9432,0.9168944838744112,0.9429744540979264,0.85,0.8190104166666666,0.8342175066312998,0.927538775510204,0.8933955187626514,0.9277593648495942,1276,92,126,0.6053676009178162,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 50,50,16,0.9228,0.8840966487575422,0.924266341644063,0.752,0.8080229226361032,0.7790055248618785,0.927444,0.8932126319895299,0.9276870427971786,1314,69,149,0.5949015617370605,hybrid_base_plus_transformer_specialist
Before Update - Progressive Stream Batch 51,51,16,0.941,0.9211807477129035,0.9414886407905478,0.8226018396846255,0.8682385575589459,0.844804318488529,0.9277098039215687,0.8937531905189348,0.9279577202469882,1297,97,92,0.6011257767677307,hybrid_base_plus_transformer_specialist
